3,3,5,8,17
3,3,15,25,46
3,3,30,42,88
3,3,38,61,111
3,3,50,84,146
3,3,60,83,165
3,3,75,113,202
3,3,80,128,207
3,3,100,150,259
3,3,150,223,391
3,5,5,10,17
3,5,15,25,46
3,5,30,51,84
3,5,38,56,103
3,5,50,74,129
3,5,60,87,149
3,5,75,112,191
3,5,80,116,208
3,5,100,153,234
3,5,150,222,341
3,7,5,7,16
3,7,15,25,41
3,7,30,50,80
3,7,38,62,102
3,7,50,78,130
3,7,60,92,156
3,7,75,118,185
3,7,80,115,184
3,7,100,154,244
3,7,150,202,329
3,10,5,11,17
3,10,15,28,41
3,10,30,53,77
3,10,38,57,93
3,10,50,70,113
3,10,60,84,142
3,10,75,124,167
3,10,80,125,179
3,10,100,158,204
3,10,150,230,284
3,15,5,9,16
3,15,15,19,46
3,15,30,32,76
3,15,38,60,97
3,15,50,78,120
3,15,60,76,132
3,15,75,95,153
3,15,80,112,165
3,15,100,136,185
3,15,150,221,259
3,20,5,9,17
3,20,15,23,40
3,20,30,49,78
3,20,38,64,86
3,20,50,79,115
3,20,60,86,132
3,20,75,118,170
3,20,80,101,152
3,20,100,151,175
3,20,150,203,228
3,30,5,12,16
3,30,15,24,45
3,30,30,45,71
3,30,38,64,84
3,30,50,75,106
3,30,60,98,123
3,30,75,113,145
3,30,80,127,132
3,30,100,155,157
3,30,150,209,211
3,60,5,10,15
3,60,15,24,40
3,60,30,48,67
3,60,38,60,72
3,60,50,72,84
3,60,60,100,108
3,60,75,122,109
3,60,80,122,113
3,60,100,145,117
3,60,150,219,142
3,80,5,12,16
3,80,15,24,39
3,80,30,43,60
3,80,38,58,70
3,80,50,71,74
3,80,60,90,85
3,80,75,116,106
3,80,80,118,106
3,80,100,147,114
3,80,150,218,134
3,100,5,11,16
3,100,15,27,38
3,100,30,53,53
3,100,38,61,64
3,100,50,75,75
3,100,60,101,75
3,100,75,98,81
3,100,80,111,85
3,100,100,148,95
3,100,150,223,104
5,3,5,16,25
5,3,15,41,71
5,3,30,77,131
5,3,38,98,170
5,3,50,112,219
5,3,60,150,258
5,3,75,200,312
5,3,80,202,326
5,3,100,259,399
5,3,150,352,574
5,5,5,16,23
5,5,15,38,69
5,5,30,85,136
5,5,38,94,159
5,5,50,130,213
5,5,60,150,227
5,5,75,193,288
5,5,80,219,306
5,5,100,262,367
5,5,150,355,466
5,7,5,18,26
5,7,15,41,69
5,7,30,84,125
5,7,38,109,163
5,7,50,133,183
5,7,60,153,220
5,7,75,174,262
5,7,80,186,288
5,7,100,254,342
5,7,150,359,431
5,10,5,16,25
5,10,15,37,66
5,10,30,74,129
5,10,38,96,142
5,10,50,118,170
5,10,60,143,196
5,10,75,196,245
5,10,80,198,265
5,10,100,247,284
5,10,150,340,414
5,15,5,17,24
5,15,15,43,64
5,15,30,70,114
5,15,38,107,135
5,15,50,127,183
5,15,60,148,188
5,15,75,186,220
5,15,80,217,231
5,15,100,241,270
5,15,150,370,335
5,20,5,17,26
5,20,15,43,57
5,20,30,74,109
5,20,38,100,126
5,20,50,124,153
5,20,60,125,181
5,20,75,185,212
5,20,80,195,208
5,20,100,221,214
5,20,150,364,282
5,30,5,17,24
5,30,15,40,58
5,30,30,84,96
5,30,38,98,126
5,30,50,129,138
5,30,60,154,152
5,30,75,175,173
5,30,80,212,167
5,30,100,245,203
5,30,150,371,234
5,60,5,19,23
5,60,15,37,49
5,60,30,68,91
5,60,38,94,95
5,60,50,129,122
5,60,60,162,130
5,60,75,177,129
5,60,80,200,125
5,60,100,241,144
5,60,150,362,169
5,80,5,11,25
5,80,15,34,58
5,80,30,83,87
5,80,38,99,94
5,80,50,126,103
5,80,60,143,115
5,80,75,170,118
5,80,80,195,126
5,80,100,261,121
5,80,150,380,138
5,100,5,14,20
5,100,15,37,47
5,100,30,75,78
5,100,38,99,76
5,100,50,126,89
5,100,60,157,87
5,100,75,177,95
5,100,80,201,100
5,100,100,222,101
5,100,150,376,119
7,3,5,20,36
7,3,15,52,93
7,3,30,101,170
7,3,38,126,217
7,3,50,175,280
7,3,60,207,330
7,3,75,256,425
7,3,80,300,434
7,3,100,309,519
7,3,150,499,696
7,5,5,15,37
7,5,15,48,95
7,5,30,112,176
7,5,38,138,211
7,5,50,164,271
7,5,60,214,289
7,5,75,282,372
7,5,80,288,379
7,5,100,324,440
7,5,150,500,649
7,7,5,13,33
7,7,15,64,90
7,7,30,113,163
7,7,38,132,193
7,7,50,174,232
7,7,60,222,287
7,7,75,263,321
7,7,80,260,354
7,7,100,338,409
7,7,150,503,507
7,10,5,21,37
7,10,15,55,86
7,10,30,104,148
7,10,38,143,175
7,10,50,168,217
7,10,60,216,247
7,10,75,244,301
7,10,80,270,313
7,10,100,350,361
7,10,150,499,471
7,15,5,19,35
7,15,15,61,85
7,15,30,112,142
7,15,38,143,162
7,15,50,167,201
7,15,60,191,227
7,15,75,277,267
7,15,80,286,275
7,15,100,357,307
7,15,150,494,380
7,20,5,19,32
7,20,15,54,85
7,20,30,110,127
7,20,38,134,161
7,20,50,169,175
7,20,60,222,203
7,20,75,239,233
7,20,80,262,243
7,20,100,349,282
7,20,150,504,331
7,30,5,15,33
7,30,15,56,86
7,30,30,90,123
7,30,38,137,142
7,30,50,176,168
7,30,60,206,179
7,30,75,282,197
7,30,80,302,213
7,30,100,352,222
7,30,150,526,268
7,60,5,21,30
7,60,15,57,75
7,60,30,99,107
7,60,38,138,115
7,60,50,184,128
7,60,60,178,140
7,60,75,256,147
7,60,80,274,153
7,60,100,375,160
7,60,150,501,176
7,80,5,19,36
7,80,15,61,65
