nrbits,toffoli_desc_conf,nr_qubits_output,depth_input,depth_output,process_time
6,75121061391411857,28,55,312,21.011601000000155
6,8228111421457103,25,55,297,15.570940000000064
6,2211310129371242,24,55,279,12.972001000000091
6,101014514226912410,26,55,249,8.990449000000353
6,78612211933449,28,55,320,18.59540399999969
6,2136221310999109,21,55,241,7.344970000000103
6,3710991161478311,26,55,325,16.114289999999983
6,1245129251498710,24,55,286,12.764572999999928
6,214811102353879,24,55,314,16.14264400000002
6,2271011941096812,25,55,305,12.711175999999796
6,772589111098125,25,55,338,18.77382800000032
6,21210123671324128,25,55,298,13.314298000000235
6,71448221313912613,23,55,314,15.004881999999725
6,7948141321361185,20,55,312,17.832432000000153
6,44714131099712514,25,55,303,12.871572999999898
6,10146111481211132132,22,55,289,12.757787999999891
6,138337141314891212,27,55,310,13.254093000000012
6,457122462311210,23,55,299,14.201454999999896
6,413351012141211227,25,55,281,12.15551000000005
6,391441413723245,28,55,286,11.212007000000085
6,1043499851481311,28,55,284,12.75108199999977
6,26141131132131246,27,55,353,19.891653000000133
6,14449133326626,23,55,300,11.671526000000085
6,14354134141310374,26,55,278,10.912295000000086
6,913241197510294,21,55,279,11.27363299999979
6,1131310510238111414,24,55,248,10.350434999999834
6,77108141171411297,25,55,308,19.1359080000002
6,7658761413138102,29,55,358,25.712567000000035
6,13469146476677,26,55,400,24.923142999999982
6,1051226131414105414,28,55,237,9.38498699999991
6,147128141091092313,21,55,262,10.086101999999755
6,9551341012475113,28,55,320,17.3017319999999
6,5123133135613427,25,55,296,16.01787400000012
6,1252313148261394,22,55,296,13.875233000000208
6,36926101269275,23,55,305,15.484175999999934
6,1298414436131089,27,55,261,11.838322000000062
6,107141311146111014814,21,55,260,11.148313000000144
6,1010143331257855,31,55,305,13.326575000000048
6,115139711111156138,31,55,334,26.581629000000248
6,278123612983137,24,55,351,20.64389799999981
6,1414479135587312,26,55,329,14.984645
6,7441271347127118,22,55,354,19.851134000000002
6,12244281243236,22,55,311,14.113812000000053
6,72142514611912117,22,55,285,15.739220999999816
6,912116929314101010,31,55,232,8.215162999999848
6,1241310712146136811,22,55,308,15.910154000000148
6,2327148892964,26,55,327,16.506574
6,986101210831111148,26,55,333,18.371298999999908
6,336343107114312,23,55,276,12.512374999999793
6,105510131144713713,41,55,296,17.793033999999807
6,13384131274910413,23,55,261,10.551394999999957
6,7457914811413134,32,55,343,21.152126999999837
6,1041194767111228,26,55,338,21.05267300000014
6,77133614102791113,31,55,327,17.742587000000185
6,710931212511514513,34,55,282,16.335969999999634
6,1412479221086117,28,55,332,16.71081499999991
6,105138667378146,20,55,333,20.4155310000001
6,6212314899102511,25,55,298,12.551962999999887
6,11910115664410712,28,55,351,20.814916000000267
6,1225812121312148711,24,55,312,16.294864999999845
6,1373885771011136,23,55,344,24.55049999999983
6,6911251112278115,21,55,333,23.900418000000172
6,1312810722651328,23,55,304,17.343131000000085
6,9135109106539911,29,55,262,12.209675999999945
6,713981311104148414,27,55,272,12.234342999999626
6,23510511102123413,23,55,282,11.713192000000163
6,3349124129101483,24,55,272,10.363839999999982
6,261069928861111,21,55,307,19.02228500000001
6,581010562310823,25,55,282,15.561949999999797
6,891111381153131211,27,55,352,24.301968000000215
6,2101449141331381113,33,55,297,11.23851300000024
6,1395101295121013126,29,55,271,11.61674099999982
6,54111374101281424,28,55,297,16.286723999999595
7,26131361391113131411713,26,64,340,23.12581199999977
7,89128911586914784,36,64,431,38.33547399999998
7,71373211335731243,26,64,401,29.708398000000216
7,51334365510884512,28,64,407,31.136227999999846
7,751311564412131111136,28,64,413,36.555369000000155
7,3141286131068971089,39,64,400,27.279328000000078
7,1014922122410511131014,31,64,291,12.781633000000056
7,214771110131371035106,32,64,340,21.63889300000028
7,12385713102121312552,28,64,355,25.319868000000042
7,103116412410109113128,23,64,310,18.824878999999783
7,12912521294912138137,23,64,314,18.487883000000238
7,1441014814814333101110,24,64,295,12.451264999999694
7,9268101081141162910,30,64,373,24.9785710000001
7,2694747141413414122,33,64,368,24.004566000000068
7,13698134101310639510,31,64,318,18.404535000000124
7,41429107114131331292,32,64,356,17.72172499999988
7,9514875141084812314,35,64,387,25.68127500000037
7,21441391064101342214,34,64,325,14.46256799999992
7,59763341011121013712,33,64,387,25.168166000000383
7,412101113591114865102,27,64,323,20.922373999999763
7,11128101374714749146,23,64,396,27.744496999999683
7,138781210101213126694,32,64,337,25.981360000000222
7,13522741451371314105,36,64,387,21.39849099999992
7,582111494311511638,27,64,394,32.88543499999969
7,131414710753911991414,22,64,301,15.716231999999764
7,2141356113312871143,29,64,392,28.556162999999742
7,9147311119134476614,38,64,380,28.331623000000036
7,141245138241289979,30,64,383,24.941353999999592
7,2711127116925131272,40,64,411,34.72728300000017
7,685614714113225811,29,64,451,37.718009000000166
7,14644141056104381312,39,64,392,21.849013000000014
7,76147758118212537,27,64,473,43.718741999999565
7,11137965101310259712,34,64,372,27.014470000000074
7,1113138354531210788,26,64,417,27.71709700000065
7,344541061311813455,31,64,401,24.64818699999978
7,81251222149291211109,26,64,327,15.123051999999916
7,710831031441256111010,31,64,314,15.827065999999832
7,1065131133135571185,28,64,404,33.971644999999626
7,469710512131481091312,30,64,341,18.556870999999774
7,1357264583126254,27,64,394,30.336733000000095
7,3112514141414610610104,30,64,281,14.397304000000076
7,6111455967812101126,33,64,432,37.43583200000012
7,21391291013147652116,25,64,376,20.143471999999747
7,1359755114126121192,25,64,383,26.464748000000327
7,7510441042841213412,28,64,355,21.688454000000092
7,131384881012747675,28,64,440,31.646104000000378
7,751429414342101378,30,64,317,17.38492000000042
7,813211141139136103512,30,64,362,21.078606000000036
7,1114248712612310944,32,64,374,20.72875000000022
7,12104679810461213711,25,64,394,24.21128099999987
7,1011731041421412931211,31,64,338,16.935333999999784
7,46114810133556966,25,64,377,29.692597999999634
7,143101024412101299119,34,64,273,11.891775000000052
7,1394281348124124210,29,64,338,15.484723999999915
7,3131213712121210613422,28,64,307,14.236229000000094
7,1236229911812101489,28,64,351,20.061823999999433
7,81354131048352121212,31,64,398,22.983000000000175
7,1210119212981123786,37,64,413,31.817392999999356
7,103131414241141426107,25,64,286,12.232551000000058
7,1012871344629214711,31,64,399,24.79335600000013
7,913121012851414514111314,35,64,290,14.15800599999966
7,1021441112142142135210,38,64,341,14.705471999999645
7,9116714141191097554,30,64,350,25.635520999999244
7,79149275121391091114,27,64,317,17.144536999999218
7,9132512231381135139,27,64,365,18.922436999999263
7,42623896451113813,22,64,388,26.487482999999884
7,1412714948561336129,33,64,371,21.091097999999874
7,71241382666514492,27,64,423,30.867577999999412
7,214221214612814614145,29,64,366,18.61487699999998
7,141051459356119289,34,64,352,23.803054999999404
7,123561361210511414414,32,64,333,19.90998800000034
7,5109214310335148510,33,64,279,13.56523500000003
7,9971111451227111035,32,64,426,29.388401000000158
7,34131331014321013496,24,64,298,10.72925000000032
7,128141014141211273784,33,64,354,18.92072999999982
7,9111341354528105137,30,64,363,24.456293999999616
7,912810101114811812995,28,64,369,23.179435000000012
7,8813121346147375146,32,64,393,29.662238000000798
7,651414813115135101159,33,64,355,24.615211000000272
7,59414116795115486,32,64,404,34.61315100000047
7,10111431410121313143632,34,64,328,13.943064999999478
7,712125412271223288,26,64,394,27.7574139999997
7,1471451142949941310,26,64,340,19.69572100000005
7,1081413574111481112106,26,64,391,25.686352000000625
7,11571187971339243,34,64,409,35.11964100000023
7,72689843855659,30,64,430,39.973997000000054
7,7866671042691329,25,64,440,33.114362999999685
7,446453241113621310,28,64,361,21.392632999999478
7,21312611115144213121114,30,64,388,21.938060999999834
7,96101394378335411,27,64,358,18.5477520000004
7,21012131214641281341312,26,64,340,16.59710499999983
7,5310141054112271184,33,64,364,24.439742999999908
7,107696121161336394,24,64,359,25.448648000000503
7,91185127128549493,26,64,405,32.08820199999991
7,3132211551310934104,32,64,316,15.135142000000087
7,61010125611212562213,29,64,334,24.886876999999913
7,2661213102611711101413,31,64,379,24.33082700000068
7,1112613587275111277,41,64,482,48.566508999999314
7,811139992913321496,28,64,316,16.74269699999968
7,813273101011511310149,29,64,319,17.28431300000011
8,1474261310109551010131214,28,73,336,17.83309400000053
8,210391031313974810269,34,73,354,16.25546899999972
8,38131111610141313129105118,42,73,393,33.1095379999997
8,768112391211776731014,35,73,469,47.00568399999975
8,7101231278210813445310,35,73,407,26.499793999999383
8,2231465131481412671469,30,73,399,32.71545099999912
8,8136101151414391367111411,30,73,418,40.77529700000014
8,671313791232699713712,33,73,461,40.94268099999954
8,271051135243149251013,32,73,359,27.08293599999979
8,691311111111711144498136,36,73,526,48.163730000000214
8,1157714103132641014333,32,73,446,32.37668200000007
8,7121041212121249213661412,34,73,393,27.392877999999655
8,781412545131010738439,31,73,388,31.103933000000325
8,231110256591361461093,27,73,374,25.4622530000006
8,9314712465257144333,36,73,410,28.78237899999931
8,749314912131211614121259,27,73,401,26.887291999999434
8,61112141375251151112699,33,73,452,49.18107400000008
8,138911233113611131414108,31,73,427,29.24219499999981
8,132441089944410413128,39,73,395,20.333799999999428
8,128145101188674682123,37,73,463,43.2171529999996
8,7613526412313132331311,28,73,402,35.09100500000022
8,8121259513285812771014,31,73,509,47.327839000000495
8,776135131341314111391448,27,73,430,36.57023200000003
8,12714297123102107115127,32,73,413,30.750530999999683
8,115131324713772293313,34,73,405,30.468354999999974
8,933867339814111031313,35,73,400,25.623348000000078
8,893666139910141014548,31,73,395,30.767133000000285
8,613381314115134971461113,29,73,426,37.14349399999992
8,1257129310136313591062,38,73,373,27.646748000000116
8,2109113391114542142119,32,73,350,21.381122000000687
8,824111337210118610566,31,73,453,40.90866499999993
8,8713122131494262714144,33,73,428,28.349233999999342
8,31235111041162758264,38,73,472,43.30740499999956
8,121211486118107131264112,37,73,493,46.59831099999974
8,101265821156831411922,31,73,418,38.140707999999904
8,53125333210855117136,29,73,401,36.903784999999516
8,131264327913137474127,25,73,409,30.944532000000436
8,129388514410481037134,34,73,403,27.553929000000608
8,2533122510123777131011,32,73,415,33.21139399999993
8,41129131248898696313,28,73,451,37.43500200000017
8,133116125272596410102,34,73,398,28.998595000000023
8,133410111011891411139237,38,73,390,24.5526260000006
8,423221312376836439,45,73,462,32.664370999999846
8,6124108821310124939514,38,73,407,32.56831499999953
8,67143496941484118612,30,73,474,40.297921999999744
8,142911910145573101213102,34,73,376,21.227240000000165
8,6841271339585610101214,40,73,413,36.199431000000004
8,584854141463457101014,30,73,436,30.753082000000177
8,512221212413821243225,39,73,444,30.998149000000012
8,682671351159759462,30,73,465,55.66975000000002
8,55414561191082749814,29,73,454,41.54930699999932
8,31459133148711538823,33,73,431,33.34634199999982
8,9771410512133411116968,37,73,467,39.999056000000564
8,96721012386591392614,36,73,412,35.087289000000055
8,71451410861411412117723,36,73,473,40.91461700000036
8,33995510737213102311,32,73,364,22.775464000000284
8,811122351371072910111411,33,73,430,36.46712099999968
8,41114213141310103212841214,31,73,394,20.568911999999727
8,1068121193729814144116,39,73,439,41.05265000000054
8,121411772386512108141112,31,73,453,40.67676200000005
8,65511361414496852810,30,73,471,43.349175999999716
8,4149144814275141031147,27,73,405,24.668894999999793
8,131397133897613751283,29,73,471,33.13034500000049
8,861314131313386101189142,34,73,444,34.08331099999941
8,1111710141410107111361014611,27,73,377,29.9983000000002
8,11811101411514108728826,26,73,433,39.28980000000047
8,13561477121262783724,36,73,487,48.35648499999934
8,132121359989829146211,36,73,388,27.330933000000186
8,21013125231110513591155,35,73,324,27.01822700000048
8,8132121010128813147210510,34,73,356,18.880008999999518
8,91423371192741191123,35,73,440,27.165329000000384
8,214131334567811768510,28,73,456,38.57771099999991
8,1434128912610131272479,43,73,416,30.8918249999997
8,77324656657121313310,30,73,497,48.595296999999846
8,6101010141211211241213985,32,73,375,25.800398999999743
8,6948439572101461442,38,73,448,36.053485000000364
8,1196138861161137123125,31,73,475,60.029255999999805
8,210894314512481326810,27,73,387,26.918329000000085
8,12743811962146551076,29,73,437,42.156182999999146
8,612222114614145102868,36,73,448,37.302567000000636
8,1014921078121411123142310,29,73,333,16.543212000000494
8,463871213101212210106912,35,73,416,29.303036999999676
8,488141082571112778134,27,73,484,44.024726999999984
8,513476129927811510210,35,73,416,33.385668000000805
8,6687213479513348712,29,73,501,49.68415300000015
8,99212271132412671383,33,73,418,30.487575000001016
8,10514473612310114142107,30,73,456,31.247378000000026
8,1213108611111029103112813,28,73,393,24.119432999999844
8,312133109959872128212,31,73,416,25.418041000000812
8,7212321389210493928,30,73,375,22.428099999999176
8,1111521214261311229766,29,73,479,45.37241399999948
8,2210413711214115138369,28,73,398,27.38281900000038
8,1161011131056751122686,32,73,502,56.75586900000053
8,1210512512339513483104,31,73,349,23.20801500000016
8,6108131214512435812988,27,73,418,36.19360500000039
8,611128131039467571158,28,73,450,45.831317000000126
8,1411116862132281210589,37,73,484,46.70376100000067
8,249789119214981114105,30,73,425,31.63477100000091
8,76631091291269141113125,35,73,420,32.54081100000076
8,3121484141010521493776,33,73,365,23.302167000001646
9,361014674622113911149614,39,82,494,49.243366000000606
9,1259117111381041494391297,32,82,467,45.994417999998404
9,9131171485310511714688314,42,82,506,54.8438929999993
9,22971261011274105494107,41,82,463,40.66208600000027
9,1211573121448412865411137,41,82,537,67.89101499999924
9,391491077711331129131356,40,82,451,47.390409999999974
9,385275146142441013111484,31,82,474,48.32308399999965
9,389124141224832136712136,29,82,529,47.87804700000015
9,13934713111356711514133211,36,82,511,47.34100600000056
9,33111451411536128711143711,36,82,562,60.8695459999999
9,1211212898912521411512292,31,82,453,44.21443399999953
9,2662102524891293731411,34,82,466,45.941037999999025
9,677341411881313101291014214,34,82,443,38.80382400000053
9,8321225131251453966659,35,82,480,56.31426900000042
9,12345539521121089117310,34,82,408,35.34726899999987
9,10311888671496669514812,34,82,464,61.948114999999234
9,1012127221196571272105123,44,82,509,54.30987299999833
9,84126993255146711951314,33,82,477,56.26321000000098
9,212613845827146118651112,35,82,566,70.96386399999938
9,67713101010298756111314814,37,82,475,45.482089000001
9,6335453142245123531411,33,82,490,48.20213999999942
9,1312469710714274510412311,27,82,466,40.567471000000296
9,41110856312812121314464102,45,82,508,54.67366200000106
9,7411124131411144235145262,37,82,471,48.67702500000087
9,81041431491021214514246313,34,82,415,25.305038999998942
9,26461023731061312106141212,36,82,435,36.997583000000304
9,24312139136131110457102118,40,82,429,34.88616000000002
9,2111411111471451135101261435,31,82,479,44.756585999999515
9,11952461012961495941172,32,82,427,44.112183999999615
9,324345131148955741333,39,82,480,48.45252299999993
9,10531114115610881210722814,28,82,458,46.96339099999932
9,131099146109122312577732,35,82,452,31.206192000001465
9,117111457812102812312114811,33,82,516,74.80861399999958
9,10511341039581371251412137,34,82,480,44.43695800000023
9,98126121435761414711126314,33,82,535,54.661645000000135
9,11142761085111210118449614,31,82,519,59.297803999999815
9,97211103314881035135242,30,82,458,40.09663999999975
9,5513121357121484103213529,33,82,438,42.42283300000054
9,91331347626411841353114,31,82,492,51.06713300000047
9,25414513214135767714828,39,82,522,58.261341000001266
9,121399105101381361092211410,58,82,428,30.606136000000333
9,11297810311681462111114105,28,82,536,52.557974999999715
9,56414111026987131214811142,37,82,515,54.444054000001415
9,1226121411212961114253955,41,82,486,56.31664599999931
9,104113978468141131226813,31,82,505,51.37018699999862
9,911610425148478294776,34,82,523,64.67386100000112
9,12121112121421314122210121251314,40,82,372,25.251288000001296
9,91471091196955125854210,31,82,474,44.73006300000088
9,41231310912116114578145710,45,82,462,47.33432399999947
9,28281011521191321214713112,28,82,462,42.09182200000032
9,2713212146261221012145652,39,82,474,46.8691859999999
9,13776128665241041211575,27,82,589,81.955602
9,3531114359211664249313,34,82,489,55.545256999999765
9,33438115441311138623106,33,82,478,50.90612599999986
9,53512451251011102624111413,31,82,409,40.49719200000072
9,31124411128379525116411,35,82,539,70.86767700000019
9,612610661186101074391184,38,82,556,71.77534300000116
9,2147106210132512821465116,29,82,494,42.75026400000024
9,82101010521321179142148912,29,82,436,35.195112000001245
9,11136882754982135414214,31,82,505,61.83979299999919
9,314281231391381244758613,29,82,479,48.07418099999995
9,33572143495114611513132,37,82,476,53.30519800000002
9,10383452311741194101292,37,82,447,41.054611999999906
9,128711713758422812512414,29,82,575,68.0164850000001
9,48134291181113710121112662,43,82,493,52.569799999999304
9,5713614121312828985913512,42,82,491,59.92524699999922
9,21185313148143975711599,35,82,485,54.977225000000544
9,1112133148101211786411121099,42,82,478,44.38731199999893
9,510104107810314545651166,35,82,478,52.628224000000046
9,3101131211121226512114541414,43,82,534,56.96675800000048
9,9610411101331310531442968,42,82,424,37.195764000000054
9,141298541343945128361410,43,82,471,38.82286400000157
9,233116118913101313753355,44,82,466,48.895078999999896
9,144101475141389461211210514,42,82,414,36.19825100000162
9,461113913546210881069710,39,82,476,45.5232449999985
9,8466312143476731381333,29,82,545,57.54393000000164
9,34293141112963131271413711,33,82,424,32.656300999999075
9,32513113108121412714583413,30,82,436,37.86080600000059
9,108989284961491421414107,37,82,423,34.17854200000147
9,1411134142610761312691421210,29,82,428,32.347711000000345
9,5514912131114614412126711147,40,82,503,53.59166300000106
9,441112414685410614712569,37,82,485,53.350148999999874
9,6210121314731151092912676,33,82,470,41.049974999999904
9,21021341113451463514712710,34,82,478,36.97287399999914
9,4141011411112222116681238,30,82,524,51.04454000000078
9,96144142106761125951022,33,82,406,40.80756899999869
9,71310138761152111281311276,25,82,512,64.56167199999982
9,42101082554933713281213,31,82,472,39.464238999999
9,41249381010111013710613131110,29,82,381,23.317039000001387
9,5922125914998814125131213,31,82,462,36.82509899999968
9,7124513293117731131151214,31,82,578,61.66885100000036
9,214814355111161312131013728,35,82,495,45.66981399999895
9,57813742548127101074310,40,82,516,55.26613999999972
9,111151414512141231486310566,37,82,488,55.42464099999961
